sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The committee debated the motion for three hours.,debate,2,,,,Joint_Statement,synthetic,,,,False
We debated the matter.,debate,,,,,Joint Statement,,"Kalm 2022, p. 193ff",,,
They agreed with her how to do it.,agree,,,,,Joint Statement,,"Kalm 2022, p. 193ff",,,
I have submitted reasons to agree or disagree with some of the positions.,agree,5,1,agree.v.01;agree.v.07,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/00/sel_0049.sense,0,1,False
"Agreeing on those new words will not be easy, in a country that often can not escape or does not want to escape its Soviet past.",agree,0,1,agree.v.01;agree.v.07,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0047.sense,15,1,False
The union and management agreed to a three-year contract.,agree,4,,,,Joint_Statement,synthetic,,,,False
"Mr. Lorin, a stock promoter, pleaded guilty to the stock - manipulation charges in April and agreed to cooperate with the government 's investigation of Mr. Laff.",agree,18,3,agree.v.02,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1065.sense,26,1,False
"Litvinenko 's family and those who have once been in contact with him said on Sunday that if the authorities could guarantee their safety, they might agree to meet with the Russians.",agree,27,3,agree.v.02,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_c2e/00/p2.5_c2e_0065.sense,15,1,False
It also said the union had agreed to meet the company for further talks tomorrow.,agree,6,3,agree.v.02,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2136.sense,20,1,False
"A ""syndicate"" of shareholders holds just under 50 % of AG, Mr. Lippens said, and members have agreed to give one another the right of first refusal should they sell any AG shares.",agree,21,3,agree.v.02,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1404.sense,15,1,False
I can not agree to two governments in Lebanon.,agree,3,3,agree.v.02,correspond-36.1,Joint Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_a2e/00/p2.5_a2e_0033.sense,6,1,False
The organizations agreed to combine resources.,agree,2,,,,Joint_Statement,synthetic,,,,False
