sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"""The U.S., with its regional friends, must play a crucial role in designing its architecture.""",design,15,1,design.v.03;design.v.04;design.v.05,create-26.4,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0043.sense,31,1,False
"It 's designed to counter the kind of thing that I found in the New York newspaper this morning where a Brooklyn woman who scalded her 4 - year - old to death in a bathtub, walked out of court a free woman yesterday sentenced to five years probation.",design,2,3,design.v.02;design.v.07,create-26.4,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0247.sense,19,1,False
"If we choose to have a successful transportation plan then we should design the plan to meet the needs which will occur as a result of what is happening, rather than to meet the needs of what we wish would happen.",design,12,1,design.v.03;design.v.04;design.v.05,create-26.4,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0007.sense,133,1,False
"By the side, Dad listened to Qingqing playing,",play,8,4,play.v.03;play.v.06;play.v.07;play.v.13;play.v.18,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0013.sense,12,1,False
"Previous efforts have included musical ads, featuring simple tone - generating chips that play a tune, but the voice synthesizer in this effort is much more sophisticated, with none of the robotic flatness that one hears, for example, when calling telephone directory services.",play,14,4,play.v.03;play.v.06;play.v.07;play.v.13;play.v.18,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2440.sense,4,1,False
"He took me out of my cell and they brought their puppet veiled so he would not be recognized, because he knew that he was playing a nasty role.",play,26,5,play.v.04;play.v.08;play.v.14;play.v.25;play.v.26,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,37,1,False
Marni Rice plays the maid with so much edge as to steal her two scenes.,play,2,5,play.v.04;play.v.08;play.v.14;play.v.25;play.v.26,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1163.sense,34,1,False
"It 's written ` marcato ' in the score, and I played it that way, kind of gigue - like.",play,12,4,play.v.03;play.v.06;play.v.07;play.v.13;play.v.18,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1388.sense,36,1,False
"To overcome this, Mr. Codover 's team injected a gene to make GDNF right into the monkey 's brains.",make,12,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0061.sense,14,1,False
Hillary Rodham Clinton made history today -- the first ever First Lady to be elected to public office and the world 's most exclusive club -- the U.S. Senate.,make,3,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0034.sense,1,1,False
