Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
FedEx,send-11.1,Motion,Send,Monosemous,4189,distinct verbs,FedEx,1,,3084,Motion,Motion,Motion,Participation
UPS,send-11.1,Motion,Send,Monosemous,248,distinct VN classes,UPS,1,,1105,Motion,Transformation,Force,Interaction
abandon,leave-51.2,Motion,Basic Motion,Monosemous,3084,monosemous verb mappings,abandon,1,,,Motion,Affect,Transformation,Action
abase,remedy-45.7,Transformation,Causative Change of State,Monosemous,1105,polysemous verb mappings,abase,1,,,Transformation,Possession,Incremental,Control
abash,amuse-31.1,Affect,Affect,Monosemous,6078,total verb mappings,abash,1,,,Affect,Attend,Creation,Evaluation
abate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,19,unique semantic domains,abate,1,,,Transformation,Incremental,Location,
abbreviate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,66,unique Situations,abbreviate,1,,,Transformation,Existence,Existence,
abduct,steal-10.5,Possession,Transfer of Possession,Monosemous,4218,total VN + FN distinct verbs,abduct,1,,,Possession,Cognition,Possession,
abhor,admire-31.2,Attend,Attend,Monosemous,,,abhor,1,,,Attend,Affiliation,Communication,
abnegate,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,abnegate,1,,,Possession,Location,Affiliation,
abolish,remove-10.1,Incremental,Causative Incremental,Monosemous,,,abolish,1,,,Incremental,Communication,Participation,
abound,swarm-47.5.1,Existence,Existence,Monosemous,,,abound,1,,,Existence,Volition,Interaction,
abrade,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,abrade,1,,,Transformation,Causation,Action,
abridge,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,abridge,1,,,Transformation,Quantification,Control,
absorb,absorb-39.8,Transformation,Absorb,Polysemous,,,absorb,2,,,Transformation,Association,Perception,
absorb,learn-14,Cognition,Learn,Polysemous,,,abstract,1,,,Cognition,Creation,Attend,
abstract,remove-10.1,Incremental,Causative Incremental,Monosemous,,,abuse,2,,,Incremental,Desire,Affect,
abuse,judgment-33.1,Affiliation,Attack,Polysemous,,,abut,1,,,Affiliation,Force,Desire,
