sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Some frantically dumped belongings into pillowcases, others threw goods out windows.",throw,8,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,26,1,False
"Some, feeling "" cheated, "" flung their exhibition leaflets on the floor in disgust.",fling,7,1,fling.v.01;fling.v.04,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1048.sense,35,1,False
and when she says -- when she gives me thumbs down Howie I have to put it in a ball throw it in the -- in the circular flo- file and start over /.,throw,20,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,585,1,False
"In another incident Israeli soldiers fired on the car of a high ranking Roman Catholic church official at a checkpoint in the West Bank, but there were no casualties there.",fire,5,1,fire.v.01;fire.v.02;fire.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/02/voa_0227.sense,1,1,False
"Fiji 's military commander Bainimarama, who launched a coup on the 5th, held a swear - in ceremony today in the capital Suva, appointing Jona, who has no political background, to be the prime minister of the interim government.",launch,7,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_c2e/00/p2.5_c2e_0036.sense,0,1,False
"Shortly after the ceasefire agreement took effect, Palestinian militants fired three missiles from Gaza toward Sderot and other areas of Israel.",fire,10,1,fire.v.01;fire.v.02;fire.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0068.sense,3,1,False
Israeli police fired tear gas at stone - throwing protesters.,fire,2,1,fire.v.01;fire.v.02;fire.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0011.sense,5,1,False
"The clashes began Wednesday, when the rebel Revolutionary Armed Forces of Columbia launched attacks on a number of northeastern towns.",launch,13,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0042.sense,5,1,False
"Explosions shook a Phillips Petroleum Co. plastics plant near Pasadena, Texas, hurling debris and causing a fire visible from 10 miles away.",hurl,13,1,hurl.v.01;hurl.v.02;hurl.v.03,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1353.sense,17,1,False
"On the day the American tanks rolled into Baghdad, Abather Abdul Hussein and his wife, Balqes Abdel Mohammed, threw flowers.",throw,21,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0015.sense,13,1,False
