sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"at which he looked at me really really funny and said ' ok, how 'bout 18 bucks. '",look,3,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,94,1,False
I went over and looked at these babies when this case started.,look,4,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0003.sense,7,1,False
Dad looked at Qingqing and teased Qingqing: how come this kid opens her eyes while sleeping?,look,1,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0010.sense,12,1,False
I used to see the lights going bay and by and I looked out and said it 's pitch black out here.,look,12,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0009.sense,13,1,False
"She wants something big, and already has looked at the Chrysler New Yorker and Lincoln Town Car.",look,8,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1377.sense,21,1,False
"In Peter and Wendy, the Lost Boys are the ones who fall out of their perambulators when their nurse is not looking.",look,22,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,347,1,False
"Look outside right now and you might not believe it, but snow or no, around the globe the year 2000 is one of the warmest on record.",look,0,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0147.sense,2,1,False
"Jay, look at that sign.",look,2,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0008.sense,17,1,False
"And sometimes when she looks at the poster on her wall, she feels as if she is being mocked.",look,4,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,14,1,False
They were staring straight ahead as well /.,stare,2,1,stare.v.01;stare.v.02,peer-30.3,Perception_(exp._subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0002.sense,106,1,False
