sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"At the same time, devastated villages began to bury their victims as officials attempted to obtain food and water supplies.",bury,9,1,bury.v.01;bury.v.02;bury.v.03;bury.v.04,put-9.1,Cause Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0019.sense,1,1,False
"When Maj. Moises Giroldi, the leader of the abortive coup in Panama, was buried, his body bore several gunshot wounds, a cracked skull and broken legs and ribs.",bury,15,1,bury.v.01;bury.v.02;bury.v.03;bury.v.04,put-9.1,Cause Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2013.sense,0,1,False
The growing city of Worcester buried the majority of the Blackstone Canal.,bury,,,,,Cause Incremental,,ontonotes,,,
There are many clues that the Vikings buried the treasure here.,bury,,,,,Cause Incremental,,ontonotes,,,
Mount Vesuvius erupted and buried the towns of Pompeii and Herculaneum.,bury,,,,,Cause Incremental,,ontonotes,,,
The Day They Buried The Lone Ranger was a sad one.,bury,,,,,Cause Incremental,,ontonotes,,,
The engineers buried the pipes at depths of three to twelve feet.,bury,,,,,Cause Incremental,,ontonotes,,,
"Mac buried himself in his covers, hugging his teddy bear.",bury,,,,,Cause Incremental,,ontonotes,,,
Included was the charge that Sindona siphoned $ 45 million of Franklin funds for his other ventures.,siphon,6,2,siphon.v.01,wipe_instr-10.4.2,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1266.sense,9,1,False
"Back in those days farmers would always put cigarettes in their pockets when they went to the fields, but they would often find that their cigarettes would get crushed before they had a chance to smoke them.",put,7,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1054.sense,36,1,False
Put away your toys.,put,,,,,Cause Incremental,,ontonotes,,,
Then you also put an incense burner there and every time you celebrate a festival you light incense and pray for happiness.,put,3,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,17,1,False
She is putting the tray of food on the table.,put,,,,,Cause Incremental,,ontonotes,,,
Put your things here.,put,,,,,Cause Incremental,,ontonotes,,,
Is it true that some of you got so efficient at flipping that you could actually do it without putting your finger down your throat /.,put,19,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,269,1,False
Just put the books down over there.,put,,,,,Cause Incremental,,ontonotes,,,
Then do you rub a little oil of some kind on it?,rub,3,rub-v 1,rub.v.01;rub.v.03;rub.v.02,crane-40.3.2;spray-9.7-1;touch-20-1;wipe_manner-10.4.1-1,Cause_Incremental,pos_fill,bc/phoenix/00/phoenix_0000.sense,10,,False
"Of course, after facial care is finished, do n't forget to rub moisturizing cream into your calves!",rub,13,rub-v 1,rub.v.01;rub.v.03;rub.v.02,crane-40.3.2;spray-9.7-1;touch-20-1;wipe_manner-10.4.1-1,Cause_Incremental,pos_fill,mz/sinorama/10/ectb_1018.sense,13,,False
I would not have been willing to risk my own life to dislodge Saddam Hussein from power.,dislodge,12,dislodge-v 1,dislodge.v.01;dislodge.v.02;dislodge.v.03,remove-10.1,Cause_Incremental,pos_fill,wb/sel/44/sel_4423.sense,0,,False
He sprinkled salt over the roast.,sprinkle,1,,,,Cause_Incremental,synthetic,,,,False
"Angry settlers gathered around the bus with its melon - sized holes, denouncing Israeli Prime Minister Ehud Barak for exercising too much restraint, but Palestinians warned that the missile attacks in Gaza would dangerously escalate their two - month - old conflict.",escalate,36,escalate-v 1,escalate.v.01,NP,Cause_Incremental,pos_fill,bn/pri/00/pri_0058.sense,8,,False
"And business investment -- which slowed in the third quarter, according to yesterday 's report -- is expected to continue to be sluggish.",slow,5,slow-v 1,slow.v.01;slow.v.02;slow.v.03;slow.v.01;slow.v.02;slow.v.03;slow.v.01;slow.v.02;slow.v.03;slow.v.04;slow.v.05,,Cause_Incremental,pos_fill,nw/wsj/07/wsj_0795.sense,9,,False
So baseball is benefitting by by the performance enhancement of the individual players which which makes it even more troublesome in terms of eradicating steroid use /.,eradicate,23,eradicate-v 1,eradicate.v.01;eradicate.v.02,remove-10.1,Cause_Incremental,pos_fill,bc/msnbc/00/msnbc_0004.sense,396,,False
"The suit, assigned to federal Judge Kimba Wood, seeks a permanent injunction, back pay for judges who have been forced to retire, reinstatement of retired judges and ""other affirmative relief necessary to eradicate the effects of ( New York 's ) unlawful employment practices.""",eradicate,37,eradicate-v 1,eradicate.v.01;eradicate.v.02,remove-10.1,Cause_Incremental,pos_fill,nw/wsj/04/wsj_0469.sense,5,,False
"Well, there are really no precedents here Tony because, as you mentioned, the last trial of an alleged foreign spy, was actually the trial of Gary Powers way back in 1961, and Gary Powers was shot down over Russia, so his guilt was fairly firmly established and ever since then any suspected spies were usually either sort of simply kicked out of the country, expelled, or they were arrested and then swapped for Russian spies arrested in Western countries.",expel,71,expel-v 1,expel.v.01;expel.v.02;expel.v.03,remove-10.1;banish-10.2,Cause_Incremental,pos_fill,bn/pri/00/pri_0078.sense,25,,False
The court in Camp Zeist Holland convicted one of the two Libyan defendants of planting the suitcase bomb which brought down Pan Am Flight 103 over the Scottish town of Lockerbie.,plant,14,plant-v 3,plant.v.05,put-9.1-1,Cause_Incremental,pos_fill,bn/voa/02/voa_0262.sense,7,,False
I will not stand by as peril draws closer and closer /.,draw,7,draw-v 4,draw.v.12;draw.v.01;draw.v.01;draw.v.01;draw.v.02;draw.v.03;draw.v.04;draw.v.05;draw.v.01;draw.v.01;draw.v.02;draw.v.05,NM,Cause_Incremental,pos_fill,bc/msnbc/00/msnbc_0007.sense,187,,False
"The question, I 'm an AOL shareholder sitting at home, hearing this news, Does this set off a few alarms? Will people panic and everybody sell it?",set,18,set-v 6,set.v.01;set.v.02;set.v.03;set.v.02;set.v.01;set.v.01;set.v.02;set.v.04;set.v.06;set.v.07;set.v.01;set.v.03;set.v.08,force-59-1,Cause_Incremental,pos_fill,bn/cnn/03/cnn_0333.sense,21,,False
"Mr. Heinemann said the changes represent a new focus in the magazine industry: a magazine 's net revenue per subscriber, or the actual revenue from subscribers after discounts and the cost of premiums have been stripped away.",strip,37,strip-v 1,strip.v.01;strip.v.03;strip.v.05;strip.v.06;strip.v.07;strip.v.08;strip.v.01,cheat-10.6;dress-41.1.1;wipe_manner-10.4.1-1,Cause_Incremental,pos_fill,nw/wsj/23/wsj_2350.sense,20,,False
"The energy of the explosion at collision time will reach as high as 10 trillion tons of TNT dynamite, equivalent to the explosive power of 500 million atomic bombs similar to those dropped on Hiroshima.",drop,33,drop-v 1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4;roll-51.3.1,Cause_Incremental,pos_fill,nw/xinhua/02/chtb_0251.sense,18,,False
"He added: & quot; We 'll be able to throw back the curtains that shroud the early Universe, revealing many of its mysteries. & quot;",shroud,16,shroud-v 1,shroud.v.01;shroud.v.02,fill-9.8,Concealment,pos_fill,wb/sel/97/sel_9716.sense,0,,False
The new wrinkle shrouds the case in uncertainty.,shroud,3,shroud-v 1,shroud.v.01;shroud.v.02,fill-9.8,Concealment,pos_fill,wb/sel/97/sel_9712.sense,0,,False
