sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The goalkeeper guarded the net in overtime.,guard,2,,,,Protection,synthetic,,,,False
"I will guard the unity of Jerusalem, the Temple Mount,"" says Ariel Sharon, ""I will guard the Jordan Valley and other security zones, and I will guard that there will not be an influx of refugees.""",guard,2,1,guard.v.02;guard.v.03;guard.v.04,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0167.sense,15,1,False
"But most archeological artifacts are only shards, and the few items that have been found intact are jealously guarded by the institutions that dug them up; they are rarely lent out.",guard,19,1,guard.v.02;guard.v.03;guard.v.04,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1064.sense,26,3,True
"Little Oxford, a bilingual elementary school attended primarily by the children of Taiwanese expatriates, guards its entranceway closely.",guard,16,1,guard.v.02;guard.v.03;guard.v.04,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,115,3,True
She defended her reputation in the press.,defend,1,,,,Protection,synthetic,,,,False
The attorney defended his client from the prosecution's attacks.,defend,2,,,,Protection,synthetic,,,,False
They 're up there -- they were all over the place trying to defend eh the players /.,defend,13,2,defend.v.01;defend.v.05;defend.v.06;defend.v.07,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,383,1,False
I'm going to karate lessons to learn how to defend myself.,defend,,,,,Protection,,framenet (Defending),,,
I defended them.,defend,,,,,Protection,,"Kalm 2022, p. 258f",,,
Soldiers defended the garrison throughout the siege.,defend,1,,,,Protection,synthetic,,,,False
"Samantha stalwartly defended the gateway from the wraiths, crouching low over Stephen's prone form.",defend,,,,,Protection,,framenet (Defending),,,
The quarterback defended his throwing arm from the pass rush.,defend,2,,,,Protection,synthetic,,,,False
"Amazingly, the ban on logging natural forests has not protected Chilan, the only single - species forest of hinoki cypress surviving in the world today.",protect,10,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,98,2,True
"In the two weeks after she laid her eggs, the female hundred - pacer protected them vigorously.",protect,15,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1066.sense,72,2,True
I think it 's very obvious from what Judy wrote today she is protecting somebody else /.,protect,13,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,137,2,True
Now much of that money would go toward stockpiling enough vaccine to protect twenty million healthcare workers and other first responders speeding up production of vaccines and buying the anti-viral drugs Tamoflu and Rolenzo which in some cases prevent flu infection /.,protect,12,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,328,2,True
The visor protected the welder's eyes from sparks.,protect,2,,,,Protection,synthetic,,,,False
