sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Jay, look at that sign.",look,2,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0008.sense,17,1,False
Dad looked at Qingqing and teased Qingqing: how come this kid opens her eyes while sleeping?,look,1,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0010.sense,12,1,False
"Tyco 's CEO and President Dennis Kozlowski and the last time I looked, he was sailing around Martha Vinyard on his yacht.",look,12,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0381.sense,8,1,False
"And sometimes when she looks at the poster on her wall, she feels as if she is being mocked.",look,4,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,14,1,False
"She wants something big, and already has looked at the Chrysler New Yorker and Lincoln Town Car.",look,8,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1377.sense,21,1,False
"at which he looked at me really really funny and said ' ok, how 'bout 18 bucks. '",look,3,1,look.v.01;look.v.04,peer-30.3,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,94,1,False
I can see that you are feeling great.,see,,,,,Perception_(exp._subj.),,"Levin 1993, See-30.1",,,
"Now 87 years of age, Chang Ming - sui says: "" Many years later I saw what he had written in his diary back then.",see,17,1,see.v.01;see.v.07;see.v.19;see.v.20,see-30.1,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1063.sense,32,1,False
"After one has seen so many dead bodies and heard the anguished wailing of bereaved relatives, it is hard to ignore the wisdom of calls to live in harmony with nature.",see,3,1,see.v.01;see.v.07;see.v.19;see.v.20,see-30.1,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1062.sense,43,1,False
"Seen here armed with a machine gun, supporting the Serb cause in Kosovo.",see,0,1,see.v.01;see.v.07;see.v.19;see.v.20,see-30.1,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0005.sense,10,1,False
Has anyone seen a singer or an actress with such shamelessness?..,see,2,1,see.v.01;see.v.07;see.v.19;see.v.20,see-30.1,Perception_(exp._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0025.sense,164,1,False
