sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"A stupid and difficult historic mistake, but we have to face it.",face,11,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0050.sense,16,1,False
"Saluting the courage of all those who stand up to anti-union repression despite the obvious personal danger they face, Ryder added that "" International solidarity action by trade unions around the world has brought much - needed support to workers whose fundamental rights are being violated.",face,18,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/07/sel_0757.sense,0,1,False
"It left the problems of ( transferring female teachers, their promotion, improving their level, appointing them in their districts, the problems of transportation and roads which face the expatriates among them, the road accidents which grieve us every day and in which we lose our dearest friends, etc., and many other problems facing the education sector..... )",face,30,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0031.sense,2,1,False
"Speaking of the assaults they face with the opening of the market, the township chief knits his brows tightly,",face,5,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1076.sense,80,1,False
"They do n't know when to expect him back, and have been told he faces lots of questions.",face,15,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0313.sense,3,1,False
"Mr. Lavelle faces a maximum of 20 years in jail and a $ 500,000 fine.",face,2,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1407.sense,11,1,False
Scott McClellan is stonewalling and saying I 'm not going to answer /.,answer,11,1,answer.v.01;answer.v.03;answer.v.04,reciprocate-112,Response,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0007.sense,95,1,False
Let 's talk about what kind of economic situation China is facing today.,face,11,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0045.sense,6,1,False
VOA 's Michael Sullivan reports that workers are responding to a request from the city 's Roman Catholic archbishop.,respond,8,1,respond.v.01;respond.v.03,respond-113,Response,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0032.sense,1,1,False
The Taiwanese school will be faced with the same high turnover rate that has dogged Little Oxford.,face,5,1,face.v.01;face.v.06,confront-98,Response,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,93,1,False
