sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Amanda drove Penny to New York.,drive,,,,,Vehicular_Motion,,"Croft et al 2021, p. 72",,,
I haul books by putting them on top of my head.,haul,,,,,Carrying,,framenet,,,
"Grace Energy just two weeks ago hauled a rig here 500 miles from Caspar, Wyo., to drill the Bilbrey well, a 15,000 - foot, $ 1 - million - plus natural gas well.",haul,6,1,haul.v.01,carry-11.4,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0725.sense,114,1,False
Karl hauled the books from the library to the office.,haul,,,,,Carrying,,framenet,,,
Tess mailed a letter to Abby.,mail,,,,,Sending,,framenet (Sending),,,
"If the caller stays on the line and leaves a name and address for the sponsor, coupons and a newsletter will be mailed, and the sponsor will be able to gather a list of desirable potential customers.",mail,23,1,mail.v.01;mail.v.02,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2100.sense,39,1,False
He picked the keys from the table.,pick,,,,,Pick_Up_and_Drop_Off,,"Croft et al 2021, p. 79f",,,
The park borders a very upscale neighborhood.,border,,,,,Location,,framenet (Adjacency),,,
"That 's the hardest part, but if you have another trick to do next, you can take the time to work them out of the deck if you can misdirect them, and think it",misdirect,31,2,misdirect.v.02;misdirect.v.03,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/70/sel_7073.sense,0,1,False
"Those, good kids, they went there and threw stones.",throw,9,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,83,1,False
"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance.",wheel,15,3,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1049.sense,71,1,False
At times it sounded like furniture was being actually picked up and dropped /.,drop,12,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,481,3,True
A father in New York is accused of dropping his baby out of a seven - story apartment window.,drop,8,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0241.sense,0,3,True
He drops it on the couch next to me.,drop,1,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,121,3,True
China adjoins the South Asian region.,adjoin,,,,,Location,,ontonotes,,,
Post-Soviet Russia adjoins a number of independent states.,adjoin,,,,,Location,,ontonotes,,,
Jackie accompanied Rose to the store.,accompany,,,,,Pursuit,,"Croft et al 2021, p. 71f",,,
She accompanied her friend to the hospital.,accompany,,,,,Pursuit,,"Croft et al 2021, p. 71f",,,
In one scene Cheung 's character bicycles home to her run - down apartment with a discarded mattress on her back.,discard,16,1,discard.v.01,throw-17.1,Throwing,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,81,1,False
He rowed the boat across the lake.,row,,,,,Vehicular_Motion,,"Croft et al 2021, p. 72",,,
"To transmit charts to branch offices, they use a fax machine.",transmit,1,1,transmit.v.01;transmit.v.04,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0445.sense,34,1,False
"Shortly after the ceasefire agreement took effect, Palestinian militants fired three missiles from Gaza toward Sderot and other areas of Israel.",fire,10,1,fire.v.01;fire.v.02;fire.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0068.sense,3,1,False
