sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"If they go shopping for food by bike, they have to pay 20 cents for parking.",pay,12,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0009.sense,68,1,False
"Average of top rates paid by major New York banks on primary new issues of negotiable C.D.s, usually on amounts of $ 1 million and more.",pay,4,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2380.sense,22,1,False
"Acquirers paid premiums ranging from 1.5 % to 3.7 % for the deposits and branch systems, roughly in line with what analysts were expecting.",pay,1,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2348.sense,7,1,False
and I knew that if I did n't pay up they would burn the car.,pay,8,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,331,1,False
Patti and Gary Thompson of New Jersey prefer Al Gore 's plan to pay off the nation 's $ 3.5 half dollar national debt.,pay,13,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0001.sense,8,1,False
and if we have a situation where young people grow up in the world that thinks that newspapers are things you read for free online who 's going to -- who 's going to pay my travel expenses /?,pay,34,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,592,1,False
But salvation has come from an unlikely suitor - an Australian company called Transurban that has agreed to pay the Virginia Department of Transportation $ 522 million in exchange for a 99 - year lease of the road.,pay,18,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0005.sense,91,1,False
"Owners of intellectual property rights, when requesting Customs to investigate and deal with goods that violate rights, should bear responsibility for reporting, assist Customs to develop investigation work and pay the appraisal and investigation of the related goods and other related expenses.",pay,32,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0289.sense,7,1,False
The language of the appropriations rider implies that any nomination to any position of a rejected nominee will result in the president being denied funding to pay that person 's salary.,pay,26,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0112.sense,21,1,False
He paid 500 pounds.,pay,,,,,Payment,,"Kalm 2022, p. 152ff",,,
"That means revealing everything they know about the Lockerbie bombing, paying reparations, a clear declaration acknowledging responsibility for the actions of Libyan officials and clear unambiguous actions which demonstrate the Libyan government understands this responsibility.",pay,11,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/02/voa_0262.sense,4,1,False
Honesty pays in the long run.,pay,1,,,,Payment,synthetic,,,,False
He paid fifteen dollars for the taxi ride.,pay,1,,,,Payment,synthetic,,,,False
"Pay down the nation 's debt, strengthen Social Security, cut taxes for middle class family, save our environment.",pay,0,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0010.sense,17,1,False
"The first of three major sources of error is the use of labor input estimates ( mainly employment or hours ) instead of output estimates for those sectors, such as governments, paid household services and private non-profit institutions, where there are difficulties in assembling output data.",pay,33,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1294.sense,12,1,False
Mr. Clinton said the money is easily within the US ability to pay.,pay,12,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0003.sense,1,1,False
The borrower paid the lender on schedule.,pay,2,,,,Payment,synthetic,,,,False
"One newer wrinkle, so called single - premium life ( you pay for the whole policy at once ), has been immensely popular in recent years for tax reasons; the insured could extract cash value in the form of policy ""loans,"" and none of the proceeds were taxable even though they included gains on investment.",pay,12,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1574.sense,47,1,False
The investment paid handsomely.,pay,2,,,,Payment,synthetic,,,,False
He paid the vendor for two pounds of cherries.,pay,1,,,,Payment,synthetic,,,,False
"The jury has handed down a $ 30 million, a Grand Rapids jury saying Taco Bell has to pay the true creators of the Chihuahua mascot two men claimed their idea originated, and proved I am in the wrong business.",pay,19,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0386.sense,1,1,False
"Earlier this year, Cordis, a maker of medical devices, agreed to plead guilty to felony and misdemeanor charges related to the pacemakers and to pay the government about $ 5.7 million in fines and other costs.",pay,27,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1544.sense,2,1,False
"According to his official biography, he bought his first bison in 1976.",buy,,,,,Buying,,ontonotes,,,
Lee buys potatoes by the pound.,buy,,,,,Buying,,framenet,,,
I have been buying from him for over 10 years.,buy,,,,,Buying,,framenet,,,
Jon bought some expensive apples at five dollars a pound!,buy,,,,,Buying,,framenet,,,
Jess bought a coat.,buy,,,,,Buying,,framenet,,,
"My son was coming in late, so I booked a hotel for him in the area.",book,9,,,,Buying,,ontonotes,,,False
"The Japanese management guru Matsushita Konosuke has said, "" Do n't sell customers things they find attractive, sell them things they find useful. """,sell,12,1,sell.v.01;sell.v.02;sell.v.04;sell.v.07,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1035.sense,43,2,True
Harry Potter books have been selling like hotcakes.,sell,,,,,Selling,,ontonotes,,,
She didn't want to sell shoes the rest of her life.,sell,,,,,Selling,,ontonotes,,,
His uncle sells produce.,sell,,,,,Selling,,ontonotes,,,
"Others, like broker John Mitchell, hawked a humidor bearing Madoff's name.",hawk,,,,,Selling,,ontonotes,,,
"If we want to support students, we might adopt the idea used in other countries of offering more scholarships based on something called ""scholarship,"" rather than on the government 's idea of ""service.""",offer,17,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2407.sense,34,1,False
"Additionally, the company said it filed with the Securities and Exchange Commission for the proposed offering of 10 million shares of common stock, expected to be offered in November.",offer,28,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2340.sense,6,1,False
"The cafeteria offered donated croissants and brie for breakfast, and for dinner, pasta salad and chocolate mousse torts along with the salmon.",offer,2,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,13,1,False
"Because the CD had an effective yield of 13.4 % when it was issued in 1984, and interest rates in general had declined sharply since then, part of the price Dr. Blumenfeld paid was a premium -- an additional amount on top of the CD 's base value plus accrued interest that represented the CD 's increased market value.",issue,13,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1273.sense,11,1,False
"All told, the federal government already guarantees more than $ 900 billion of mortgages.",guarantee,7,1,guarantee.v.01;guarantee.v.03;guarantee.v.04,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2227.sense,21,1,False
I own a Nissan pickup with a 4 cylinder engine.,own,1,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1249.sense,0,1,False
Bob owns a house on the Cape.,own,,,,,Possession,,ontonotes (own-v sense 1),,,
He owns a pair of antique watches.,own,1,,,,Possession,synthetic,,,,False
The foundation owns two hundred acres of woodland.,own,2,,,,Possession,synthetic,,,,False
"The Swedish publishing company Bonniers owns 51 % of Are Paev, and the Estonian management company Minor owns 49 %.",own,5,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2136.sense,30,1,False
"Under Palauan law foreigners are not allowed to own land there, but can only lease land for development.",own,8,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1022.sense,117,1,False
The French conglomerate owns a controlling share of that manufacturing firm.,own,,,,,Possession,,ontonotes (own-v sense 1),,,
"The reason is there would be too much political resistance, since more Americans own homes under 3,000 square feet than over 3,000. """,own,14,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1245.sense,0,1,False
