sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Average of top rates paid by major New York banks on primary new issues of negotiable C.D.s, usually on amounts of $ 1 million and more.",pay,4,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1118.sense,14,1,False
"Paying off that debt put such a squeeze on Campeau and its stores that Federated decided to sell off the jewels of its retailing empire, including Bloomingdale 's.",pay,0,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/08/wsj_0814.sense,20,1,False
"Pay down the nation 's debt, strengthen Social Security, cut taxes for middle class family, save our environment.",pay,0,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0010.sense,17,1,False
"""pay more, so we can develop more.""",pay,1,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0004.sense,77,1,False
... and today.. I paid $ 68 bucks to fill up my 89 Ford Van.,pay,5,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0002.sense,134,1,False
"But clearly, using tolls to pay for Metro ( instead of road improvements ) while simultaneously claiming that cars and roads do n't pay their way is both nutso and egregiously unfair.",pay,24,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,238,1,False
"The first of three major sources of error is the use of labor input estimates ( mainly employment or hours ) instead of output estimates for those sectors, such as governments, paid household services and private non-profit institutions, where there are difficulties in assembling output data.",pay,33,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1294.sense,12,1,False
"Despite the enormous sums of money they 're paid to stand up at a Japanese plate, a good number decide it 's not worth it and run for home.",pay,8,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0037.sense,25,1,False
"the one who pays him, equips him and sends him is now called ""the political wing""",pay,3,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,142,1,False
"Currently, in areas like Tianjin, Hebei, Shanxi, Gansu, and Xinjiang, employers no longer directly pay the heating bills; instead, work units would distribute special subsidies to their employees, who would then pay their own heating expenses; hence, the reform of heating bill payment has changed from an "" implicit subsidy "" to an "" explicit subsidy "" system.",pay,40,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0030.sense,0,1,False
"But at 2.3 million weekly paid circulation, U.S. News still ranks third behind Time Warner Inc. 's Time magazine, with 4.4 million circulation, and Washington Post Co. 's Newsweek, with 3.3 million circulation.",pay,5,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2436.sense,4,1,False
"A woman walks into an Israeli restaurant in mid-day, eats, observes families with old people and children eating their lunch in the adjacent tables and pays the bill.",pay,27,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,136,1,False
"Since last year, more than 3,000 yuan RMB has been spent for him only for paying tuition, buying materials and buying nutriments.",pay,16,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0222.sense,10,1,False
"Without them, paying for central imports such as fuel and electricity will become even more difficult.",pay,3,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0030.sense,31,1,False
The language of the appropriations rider implies that any nomination to any position of a rejected nominee will result in the president being denied funding to pay that person 's salary.,pay,26,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0112.sense,21,1,False
