sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
and they had hired a girl who had done very little had done a lot of stage work but just was n't prepared to come to work and face Mickey Roarke /.,hire,3,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,89,3,True
The judge scheduled to preside over his trial was removed from the case today /.,remove,9,1,remove.v.01;remove.v.02;remove.v.03;remove.v.04;remove.v.05;remove.v.06;remove.v.08,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,151,2,True
Israeli Prime Minister Ehud Barak has recalled his top two negotiators from talks in Egypt.,recall,6,3,recall.v.04,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0186.sense,1,1,False
""" If we had n't been able to hire experienced teachers, "" notes Ye, "" it would have seriously impaired the quality of our faculty. """,hire,8,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,43,3,True
"In Russia 's diplomatic circles, there were even widespread rumors, including that Putin would not visit Japan within the year and that Russia 's ambassador to Japan would soon be removed.",remove,32,1,remove.v.01;remove.v.02;remove.v.03;remove.v.04;remove.v.05;remove.v.06;remove.v.08,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0003.sense,165,2,True
"In the industrial age, capitalists who commanded the wealth to buy machinery and hire workers, or who owned critical resources like coal and oil, replaced landowners as the dominant figures in the economy.",hire,14,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,25,3,True
"He went through a shipping agent in Taiwan to hire local residents in Lungkeng to clean up the shoreline, but the oil slick had mucked up a three - kilometer stretch of strikingly beautiful blue waters, throwing a pall over the local tourism and fishing industries.",hire,9,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1074.sense,19,3,True
Egypt has recalled its ambassador from Israel to protest the rocket attacks on Gaza.,recall,2,3,recall.v.04,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0036.sense,3,1,False
"Too busy to attend regular courses, Ma Yu - shan took the advice of an NTU professor and hired a Ph.D. student to tutor him one semester in "" management economics. """,hire,19,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,153,3,True
He 's hired liberals conservatives libertarians independents um /.,hire,2,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,371,3,True
"But separate reports from Joshua Weiner and Denise Spence of the Brookings Institution and Korbin Liu of the Urban Institute find that ""a surprisingly small proportion"" -- only about 10 % -- of residents start out as private payers but ""spend down"" to Medicaid levels in a single nursing home stay before they die or are discharged.",discharge,60,2,discharge.v.03;discharge.v.10,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0595.sense,16,1,False
"So, al - Jazeera TV station seized this opportunity to get hold of this, this entire group of people by hiring them, er, as their reporters, editors, or anchors at high salaries.",hire,22,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0004.sense,202,3,True
"So, al - Jazeera TV station seized this opportunity to get hold of this, this entire group of people by hiring them, er, as their reporters, editors, or anchors at high salaries.",hire,22,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0004.sense,202,1,False
"Tsai Jui - ting points out that even though Formosa Plastics uses a lot of foreign laborers from southeast Asia, the complex has also hired a lot of local people, and since the plant went into operation he does n't seem to see so many young people hanging out in the area 's small towns with nothing to do.",hire,25,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,146,3,True
