sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Fake marks abound especially Nippon and sticky labels fall off.,fall,8,1,fall.v.01;fall.v.02;fall.v.05;fall.v.11;fall.v.23;fall.v.24;fall.v.26;fall.v.27,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/08/sel_0806.sense,0,1,False
"Al - Wajba salutes you and says: Passing by the Saudi airspace, Peres arrived in Qatar for a short visit to the Qatar Debates program with a special invitation since there will be a miniature democratic seminar to study and discuss a number of issues and the ways of tackling them...",pass,8,1,pass.v.01;pass.v.02;pass.v.07,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0022.sense,2,1,False
The animal had to be destroyed; the bikers fled and were never found.,flee,9,1,flee.v.01,escape-51.1,Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2034.sense,6,1,False
President Clinton leaves for Northern Ireland shortly on a diplomatic mission aimed at bolstering the 1998 power sharing accord.,leave,2,1,leave.v.01;leave.v.05;leave.v.08,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0155.sense,0,1,False
"Then in 1987 came the program to bring gravel from eastern to western Taiwan for construction purposes, and a harbor was built on the Pali coast for the convenience of gravel transporters.",come,3,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1050.sense,39,1,False
He wanted to move it by himself.,move,3,1,move.v.01;move.v.02;move.v.03;move.v.05;move.v.07;move.v.13,slide-11.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0011.sense,33,1,False
I 'm the Naked Cowboy 77 77 coming to a town near you.,come,7,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0192.sense,6,1,False
"Visitors, whisked from the Strip on a moving walkway, will glide over a habitat for rare white tigers, which will star in performances by the famed illusionist team of Siegfried & Roy.",glide,12,1,glide.v.01;glide.v.03,run-51.3.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0994.sense,2,1,False
"Mahmoud Mahmoud Al Belehi, the owner of a house close to the fire, confirms that the house was cracked when a charge of bottles entered the house and a fire started in it, cracking the ceiling and walls.",enter,26,1,enter.v.01;enter.v.02;enter.v.03;enter.v.06;enter.v.07;enter.v.09,escape-51.1,Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0028.sense,23,1,False
"One 60 - second TV spot features a diverse group of skiers gracefully gliding down sun - drenched slopes: senior citizens, minorities, families with children -- even a blind skier.",glide,13,1,glide.v.01;glide.v.03,run-51.3.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1617.sense,12,1,False
Typical perfect day in San Diego waiting for these men and women to come home.,come,13,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0330.sense,2,1,False
"In the harbor area a railway of 14 kilometers has been built, and the Nanning - Fangchenggang railway can reach the dock directly.",reach,20,1,reach.v.01;reach.v.02;reach.v.05;reach.v.06;reach.v.07,reach-51.8,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0120.sense,8,1,False
"Then later, after I came back home, I studied by myself.",come,5,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0055.sense,22,1,False
"Leaving his wife and children in New Zealand, he returned to Puli to resume his unfinished work.",return,10,1,return.v.01;return.v.03;return.v.04;return.v.05;return.v.09;return.v.12;return.v.14,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,137,1,False
"In southern Iraq today, British forces also moving closer to the center of the second largest city in Iraq, Basra.",move,8,1,move.v.01;move.v.02;move.v.03;move.v.05;move.v.07;move.v.13,roll-51.3.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0267.sense,15,1,False
"For a late update, live from the campaign trail we 're joined by NBC News correspondent Campbell Brown Ho who 's traveling with the Bush effort, and NBC News correspondent Chip Reid travel traveling with the Gore campaign in Kansas City Missouri.",travel,35,1,travel.v.01;travel.v.02;travel.v.03;travel.v.05;travel.v.06,run-51.3.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0004.sense,0,1,False
It was n't until Lee Teng-hui was president that he finally came home.,come,11,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1060.sense,52,1,False
"When Dad came back in the evening, Qingqing was running around holding Mom 's cell phone, talking to Uncle over the phone.",come,2,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0011.sense,34,1,False
"Officials go out to travel, while the people go out to make a living.",go,9,2,go.v.03;go.v.05;go.v.09;go.v.13;go.v.28,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0013.sense,13,1,False
"What happened was that when her um, parents left to work in the city, her grandparents looked after her.",leave,9,1,leave.v.01;leave.v.05;leave.v.08,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0003.sense,129,1,False
"Out in the oil fields, if activity picks up much more, shortages could appear because so many roughnecks, roustabouts and others left after the crash.",leave,24,1,leave.v.01;leave.v.05;leave.v.08,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0725.sense,92,1,False
"Lin 's mother was n't too happy about this, and the kitchen helpers would impatiently wave the kids away, calling: "" Shoo! Shoo! Go outside and play! """,go,28,2,go.v.03;go.v.05;go.v.09;go.v.13;go.v.28,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1007.sense,44,1,False
"Officials travel around to inspect, while the people travel around to lead a vagrant life.",travel,9,1,travel.v.01;travel.v.02;travel.v.03;travel.v.05;travel.v.06,run-51.3.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0013.sense,15,1,False
