sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"If we want to support students, we might adopt the idea used in other countries of offering more scholarships based on something called ""scholarship,"" rather than on the government 's idea of ""service.""",offer,17,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2407.sense,34,1,False
"According to presentations, it has been 15 years now since 1982, when China first issued overseas debt.",issue,16,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0132.sense,17,1,False
"Well, I think at this point it would be ludicrous for Putin to concede on the territorial issues.",concede,14,2,concede.v.03;concede.v.04,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0003.sense,105,1,False
"But not because resources are going to their most efficient use, leaving scarce goods ""allocated to those buyers who place the highest value on them.""",allocate,16,1,allocate.v.01,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1935.sense,5,1,False
"Also, companies involved in major transportation infrastructure will be allowed to issue new stock or corporate debt to raise funds.",issue,12,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1008.sense,19,1,False
"Out of work, out of savings, he is now trying to sell one of the few valuables he has left.",leave,21,2,leave.v.02;leave.v.04;leave.v.06;leave.v.09;leave.v.10;leave.v.11;leave.v.12;leave.v.13;leave.v.14,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0051.sense,4,1,False
"Nelson Bunker Hunt is considering it, although his attorney says he wo n't do it if the proposal jeopardizes a tentative settlement he has reached with the Internal Revenue Service, which claims the brothers owe $ 1 billion in back taxes and is by far the biggest creditor in both cases.",owe,36,1,owe.v.01;owe.v.03,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1611.sense,5,1,False
"Because the CD had an effective yield of 13.4 % when it was issued in 1984, and interest rates in general had declined sharply since then, part of the price Dr. Blumenfeld paid was a premium -- an additional amount on top of the CD 's base value plus accrued interest that represented the CD 's increased market value.",issue,13,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1273.sense,11,1,False
The Internal Revenue Service said it is willing to let the U.S. Tax Court decide how much oil man William Herbert Hunt will owe the government after his assets are liquidated.,owe,23,1,owe.v.01;owe.v.03,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0273.sense,0,1,False
"Citing "" freshness, "" The China Times entertainment weekly awarded their prize for "" best newcomer "" to Sun, "" the girl with the boyish haircut. """,award,10,1,award.v.01;award.v.02,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1078.sense,50,1,False
That plan would leave existing preferred shareholders with at least a 41 % stake and give common shareholders as little as 13 %.,leave,3,2,leave.v.02;leave.v.04;leave.v.06;leave.v.09;leave.v.10;leave.v.11;leave.v.12;leave.v.13;leave.v.14,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1145.sense,15,1,False
"However, though Chen says he will ask the legislature to guarantee the necessary financing, he does not, as Hsu Hsin - liang does, guarantee that he will spend 6 % of GDP on education.",guarantee,11,1,guarantee.v.01;guarantee.v.03;guarantee.v.04,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1013.sense,116,1,False
"The cafeteria offered donated croissants and brie for breakfast, and for dinner, pasta salad and chocolate mousse torts along with the salmon.",offer,2,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,13,1,False
"This part of the funds will come entirely from national financial institutions, and financial bonds will not be issued to the public.",issue,19,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0218.sense,2,1,False
Moscow would like to see Cuba repay some of the billions of dollars it still owes from loans that date back to the Soviet era.,owe,15,1,owe.v.01;owe.v.03,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0163.sense,13,1,False
