sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"At one o'clock at night "" he came to the captain and the lieutenant colonel and they told him that I was wearing a green garment. """,wear,22,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,35,1,False
"Then the tape comes along and shows us with sound and image that we are in front of a courageous lion, who refuses to wear the mask, just as he refused to take the tranquilizing pills they offered him.",wear,25,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0020.sense,28,1,False
The headgear worn by this figure indicates that he is a general.,wear,2,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1047.sense,89,1,False
"The hijacker got off the plane wearing a jacket that said America across the back, and a small child clinging to his leg.",wear,6,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0262.sense,2,1,False
The cliff wears the sea's imprint.,wear,2,,,,Constrain,synthetic,,,,False
"Jui - ting, who in his youth always wore hand - me - downs and crude garments fashioned from throwaway rice sacks and the like, never put on his own set of store - bought clothes until just prior to joining the army.",wear,9,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,91,1,False
The yellow shirt is wearing a yellow float coat.,wear,4,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0360.sense,10,1,False
"Or maybe not: ""LaToya also described being awakened in the night by Joseph wearing a ' monster mask. '""",wear,15,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,25,1,False
She wore a troubled expression the whole evening.,wear,1,,,,Constrain,synthetic,,,,False
Topic: Re: What shoes to wear for badminton -LSB- ZT -RSB-.,wear,7,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0036.sense,58,1,False
"When Sun wore a long jacket while shooting a music video, people could tell how excited she was at wearing a winter coat for the first time.",wear,20,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1078.sense,82,1,False
Her mother was wearing those sunglasses in court that you just saw her wearing just now /.,wear,13,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0002.sense,105,1,False
This is because my former boyfriend said he liked me because I did n't wear makeup.,wear,14,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0001.sense,18,1,False
The officer wore a bulletproof vest under her jacket.,wear,2,,,,Constrain,synthetic,,,,False
His face wore the miles of the long journey.,wear,2,,,,Constrain,synthetic,,,,False
The coat wears well after many winters.,wear,2,,,,Constrain,synthetic,,,,False
