sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
City officials feared widespread gridlock on the first day that normal business operations were resumed following last Tuesday 's earthquake.,fear,2,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1271.sense,2,1,False
"In any case, cable - TV - system operators have reason to fear any tinkering with CNN 's format.",fear,13,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2351.sense,53,1,False
He appreciates her honesty.,appreciate,1,,,,Emotion_(exp. subj.),synthetic,,,,False
"An unsigned email from the embassy commended Allen --"" I know that your Iraqi friends appreciate your friendship"" -- but noted that U.S. visas are ""quite difficult"" for Iraqis to get.",appreciate,16,2,appreciate.v.01;appreciate.v.03,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0015.sense,97,1,False
"But, counters Chen Tsai - ching, director of guidance counseling at the Lungshan Middle School, it is in the nature of young people in whatever era to worry about their looks.",worry,30,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,146,1,False
""" Miss Chen "" of Pingtung worries that her father, soon to retire at age 60, does n't think much about money, and his expected retirement plus savings will be less than NT$ 4 million ( about US$ 120,000 ).",worry,6,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,126,1,False
"Yet the heavy - handedness of the satire also can be effective in a book like this: If the head of AIW were not portrayed as an utterly contemptible, malicious dolt, we would not much care whether his schemes were defeated, and would not be so diverted in the process.",care,38,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1473.sense,30,1,False
I do n't care for this new chick in town /.,care,3,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,600,1,False
"Tmac gets the highest salary in the team, so he should n't care too much about himself.",care,13,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0044.sense,4,1,False
"The Chicago Board of Trade, the No. 1 U.S. grain market, had long chafed under the attention won by its innovative archrival, the livestock - dealing Mercantile Exchange.",chafe,15,2,chafe.v.02;chafe.v.03,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1737.sense,4,1,False
"His wife was a universally admired beauty, the envy of all.",admire,5,1,admire.v.01;admire.v.02,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1019.sense,33,1,False
"( 4 ) I agree with and support, however we may have already sucked much of the juice out of that orange",support,7,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0004.sense,93,1,False
"But they had better bring an argument that is supportable as in ""prioritize transportation projects based on what expenditures would produce the most improvement in traffic flow"" and not as in ""its was the taxpayers ' job to pay for the infrastructure to support whatever he built"", and not as in ""new roads will do nothing for 99 % of the drivers"".",support,46,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,232,1,False
"Mr. Thal says that Elizabeth Taylor, a client, ""hates being called ` Liz. '...",hate,11,1,hate.v.01,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1376.sense,55,1,False
"Senior administration officials are now saying privately that if Milosevic never comes to trial, the U.S. might not like it, but could live with it, as long as the man is gone.",like,19,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0004.sense,6,1,False
Do you think they would like Hillary Clinton the cut of her jib out there /?,like,5,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,576,1,False
"Like it or not, the Qatari people are the twin of the Saudi people.",like,0,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0025.sense,146,1,False
She loathes crowded subways.,loathe,1,,,,Emotion_(exp. subj.),synthetic,,,,False
Chang deeply regretted that he was unable to examine the Shangqiu site in eastern Henan.,regret,2,1,regret.v.02;regret.v.03;regret.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1060.sense,43,1,False
The old dog cowered during the thunder.,cower,3,,,,Emotion_(exp. subj.),synthetic,,,,False
"In addition, there is a great deal of shallow water, which is tailor - made for snorkeling, so that even tourists who are not particularly at home in the water can enjoy the magnificence of the ocean.",enjoy,34,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1022.sense,51,1,False
"Once the Zhuhai - Hong Kong - Macao bridge is built, it will no longer be a dream of tourists to enjoy gourmet food in Macao before having fun at Disneyland just an hour later.",enjoy,22,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0000.sense,181,1,False
"He favors a form of commercial rent control, which the financial community believes would make it more difficult to attract investment in the city.",favor,1,1,favor.v.01;favor.v.02;favor.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0765.sense,76,1,False
She dreads the next exam.,dread,1,,,,Emotion_(exp. subj.),synthetic,,,,False
She pities the stray dogs in winter.,pity,1,,,,Emotion_(exp. subj.),synthetic,,,,False
She loves quiet afternoons at the lake.,love,1,,,,Emotion_(exp. subj.),synthetic,,,,False
He envies his sister's musical talent.,envy,1,,,,Emotion_(exp. subj.),synthetic,,,,False
I ca n't stand throwing something away.,stand,3,4,stand.v.04;stand.v.05;stand.v.08,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0001.sense,70,1,False
and we just can tolerate this /.,tolerate,4,1,tolerate.v.01;tolerate.v.03;tolerate.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,112,1,False
"In the past, too much emphasis on schoolwork and good grades encouraged the development of a society in which many are crudely obsessed with personal gain.",obsess,23,1,obsess.v.01;obsess.v.02,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1053.sense,58,1,False
"The past six years have seen the greatest degree of military escalation and political aggravation in all the crises in the Middle East, and neither escalation nor aggravation has helped achieve the specific agendas of any side that has worked to provoke or inflame these crises.",provoke,42,1,provoke.v.01;provoke.v.02;provoke.v.03,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0048.sense,1,1,False
The insult provoked him to leave the room.,provoke,2,,,,Cause_and_Effect,synthetic,,,,False
His speech provoked anger among the listeners.,provoke,2,,,,Cause_and_Effect,synthetic,,,,False
"If it is correct to find that concerns over corporate debt and LBOs caused Gray Friday, what are the implications for policy makers?",cause,13,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2229.sense,24,1,False
"INTERNATIONAL BUSINESS MACHINES Corp, Armonk, N.Y., maker of business machines, NYSE, said flooding caused by broken water pipes closed its San Jose plant, which makes high - end data - storage devices.",cause,18,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1915.sense,70,1,False
"The procedure causes ""great uncertainty"" because an investor ca n't be sure of his or her individual liability, Lloyd 's said.",cause,2,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1220.sense,5,1,False
"The daughter - in - law, played by Chang Yu - yen, is mistreated by her mother - in - law, and, with outsiders butting in and causing trouble, she gets abused from beginning to end.",cause,31,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,75,1,False
The damage to the Bay area 's roadways could cause significant economic hardship.,cause,9,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1870.sense,24,1,False
All this causes Rep. Hyde to muse about an alternate way to drum up more enthusiasm.,cause,2,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2053.sense,41,1,False
The shock caused the pipes to burst.,cause,2,,,,Cause_and_Effect,synthetic,,,,False
"Although the recent fires have been put out fairly quickly, a blaze on Snow Mountain caused alarm when it burned near a stand of rare Chinese hemlock as well as streams that are home to the Formosan landlocked salmon, which is regarded as a national treasure.",cause,16,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1074.sense,39,1,False
