sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"On October 14, Taiwan 's Crescent Moon Dance Company created a sensation with their performance "" Standing on the Highest Peak, "" performed in traditional vests and short skirts as worn by indigenous people in Taiwan.",wear,32,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1040.sense,14,1,False
"""The trappings of success go a long way -- wearing the right clothes, doing the right things,"" says Paul Andreassen, an associate professor of psychology at Harvard.",wear,10,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1572.sense,42,1,False
"The stainless steel fibers in the fabrics worn by these models have potential applications not only in avant - garde fashions, but also in industrial conveyor belts and even space suits.",wear,7,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1003.sense,175,1,False
The Yemeni President said he has a beard and wears glasses but we do n't know the description of the other person.,wear,9,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0028.sense,26,1,False
"With one she is pregnant, with Major Battle she is knitting an American flag, and as the vice president 's wife she rushes in with white hair, wearing a tailored suit and pearls, imitating Barbara Bush 's gestures down to the last detail.",wear,30,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1984.sense,21,1,False
This is because my former boyfriend said he liked me because I did n't wear makeup.,wear,14,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0001.sense,18,1,False
"And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.",wear,6,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2368.sense,4,1,False
"One of its futuristic concepts is the bubblelike Sneaker, which seats just one person in front and could hold a small child and bag of groceries in the rear.",hold,19,6,hold.v.11;hold.v.12;hold.v.18;hold.v.17;hold.v.32,contain-15.4,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0956.sense,40,1,False
but I 've worn glasses /-,wear,3,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0004.sense,231,1,False
I was ready to wear this for the final four /.,wear,4,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0005.sense,638,1,False
"Moreover, her short hair, buck teeth and aversion to wearing skirts and dresses would seem to exclude her from the teeny - bopper "" idols. """,wear,11,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1078.sense,39,1,False
"it 's true that good looks can come from external grooming, wearing nice clothes, or wearing earrings; and perhaps you can get other people 's attention by creating your own special look.",wear,17,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1019.sense,42,1,False
"Sexual activity only intensified during the height of the Terror, when the girls wore red, white and blue bonnets and offered a special price to the top members of the Assembly.",wear,14,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0012.sense,48,1,False
