sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The river cuts through the valley.,cut,,,,,Motion,,ontonotes,,,
The boat cut through the water.,cut,,,,,Motion,,ontonotes,,,
We cut through the neighbor's yard to get home sooner.,cut,,,,,Motion,,ontonotes,,,
They cut across the platform and behind the curtain.,cut,,,,,Motion,,ontonotes,,,
"Japan has been testing imported food from Europe since the April 1986 Chernobyl accident in the Soviet Union, the spokesman said.",import,4,1,import.v.01,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0990.sense,56,1,False
"I 'm almost tempted to try Zenni for $ 65 and if it does n't work out either return them and recoup $ 32.50, then spring for the more expensive ones at Optical4Less.",return,18,2,return.v.02;return.v.10;return.v.13;return.v.15,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/16/sel_1652.sense,0,1,False
She recently returned from Iraq with a half dozen other conservative radio talk show hosts where they broadcast for a week in order to combat what she calls the mainstream media and liberals ' attempt to undermine the war effort with negative news /.,return,2,1,return.v.01;return.v.03;return.v.04;return.v.05;return.v.09;return.v.12;return.v.14,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0003.sense,503,1,False
This prince after only one month sent a poem of longing to his family.,send,6,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0008.sense,11,1,False
"He said 13,000 more copies were sent to Estonia because of strong sales.",send,6,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2136.sense,29,1,False
TransCanada transports all gas that moves eastward from Alberta.,transport,1,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0529.sense,4,1,False
"By late this afternoon, as movers transported the belongings to the home in Chappaqua, he had no longer the power to grant pardons, and at a rally in New York, it was the state 's new senator who got the spotlight.",transport,7,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0064.sense,20,1,False
"At present, Binhai International Airport in Tianjin has become the largest airport in China for Community of Independent States countries ' air freighters in terms of the number of flights and the amount of products transported for export from China.",transport,36,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0035.sense,8,1,False
"U.S. officials estimated that gray - market imports total about 2,100 units a year, a small part of the more than three million vehicles exported to the U.S. each year.",export,25,1,export.v.01;export.v.03,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1359.sense,2,1,False
"Through more than ten years ' market development, China has now become the world 's main down manufacturing country and down products export country, annually exporting nearly 30,000 tons of down and over 20 million down products, with earned foreign exchange reaching 820 million US dollars, including down clothing export values accounting for more than 50 % of total industry export values.",export,27,1,export.v.01;export.v.03,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0239.sense,6,1,False
"To transmit charts to branch offices, they use a fax machine.",transmit,1,1,transmit.v.01;transmit.v.04,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0445.sense,34,1,False
A father in New York is accused of dropping his baby out of a seven - story apartment window.,drop,8,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0241.sense,0,3,True
He drops it on the couch next to me.,drop,1,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,121,3,True
"We had F aircraft drop laser - guided bombs, Fs drop Joint Direct Attack Munitions or J - DAM weapons into eastern Afghanistan today.",drop,11,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0362.sense,3,3,True
"A B bomber dropped four 2,000 - pound bombs on a building in a residential area of Baghdad after getting intelligence reports senior officials were meeting there, possibly including Saddam Hussein and his sons.",drop,3,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0277.sense,7,3,True
"If indeed the man overboard is located, well the hoister is dropped down with usually a torso harness.",drop,12,1,drop.v.01;drop.v.02;drop.v.09;drop.v.15,put_direction-9.4,Pick_Up_and_Drop_Off,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0360.sense,23,3,True
He dropped the books.,drop,,,,,Pick_Up_and_Drop_Off,,"Croft et al 2021, p. 79f",,,
"The second is a huge platform with very large cranes on it, perhaps a platform of the type more usually used for oil and gas exploration, and a third vessel involved is what the rescuers describe as a giant offshore barge and the plan is to lift the submarine off the seabed, attach it to the underneath of this barge and then take it to the Russian naval port of Mamansk.",lift,48,1,lift.v.01;lift.v.02;lift.v.03;lift.v.08;lift.v.10;lift.v.12;lift.v.19,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/01/pri_0106.sense,27,2,True
"In the cold and wind whipped waters of the Barents Sea, divers are trying to raise the bodies of 118 sailors from the wrecked Kursk.",raise,16,2,raise.v.02;raise.v.08;raise.v.20;raise.v.24,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0038.sense,0,3,True
"In southern Iraq today, British forces also moving closer to the center of the second largest city in Iraq, Basra.",move,8,1,move.v.01;move.v.02;move.v.03;move.v.05;move.v.07;move.v.13,roll-51.3.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0267.sense,15,1,False
He wanted to move it by himself.,move,3,1,move.v.01;move.v.02;move.v.03;move.v.05;move.v.07;move.v.13,slide-11.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0011.sense,33,1,False
"Al - Wajba salutes you and says: Passing by the Saudi airspace, Peres arrived in Qatar for a short visit to the Qatar Debates program with a special invitation since there will be a miniature democratic seminar to study and discuss a number of issues and the ways of tackling them...",pass,8,1,pass.v.01;pass.v.02;pass.v.07,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0022.sense,2,1,False
Thus began an era in which great ships sailed in and out of Pali.,sail,8,1,sail.v.01;sail.v.03;sail.v.04,vehicle_path-51.4.3,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1050.sense,23,1,False
"Since I 'm a non-native, I 'm not allowed to paddle the length of this beautiful river without a native & quot; guide & quot;, but they do allow me to launch into the river at Taholah... as long as I 'm heading out to sea.",paddle,11,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7570.sense,0,1,False
"Then, as she paddled her Sportster into a 3 point U-Turn, I did several small donuts, about half the size of her paddling U-turn, on my Deuce.",paddle,4,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7582.sense,0,1,False
"I paddled with Kim Tyrer, an ex-adventure racer who has n't seen the AR circuit for some time.",paddle,1,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7545.sense,0,1,False
"When we paddled passed there back to Dohles Rocks the other night there was a boat ramp, lights, a BBQ area, shelter and loos - http: www.brisbane.qld.gov.auBCC: BASE: 381973466:",paddle,2,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7592.sense,0,1,False
"The boatmen paddled us peacefully to the Triveni sangam point, where I quizzed Rajkumar about the mythical Sarswati.",paddle,2,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7559.sense,0,1,False
