sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
David - who gets really annoyed when the volts drop so low his microwave can hardly boil water Esther & Fester Bestertester wrote: I 've got a 240 v. electric water heater and a need for a 208 v ( single - phase ) one.,boil,16,1,boil.v.01;boil.v.03,cooking-45.3,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/35/sel_3559.sense,0,1,False
I played her in a film with Mickey /.,play,1,5,play.v.04;play.v.08;play.v.14;play.v.25;play.v.26,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,91,1,False
Just put the books down over there.,put,,,,,Cause Incremental,,ontonotes,,,
Put your things here.,put,,,,,Cause Incremental,,ontonotes,,,
She is putting the tray of food on the table.,put,,,,,Cause Incremental,,ontonotes,,,
"Back in those days farmers would always put cigarettes in their pockets when they went to the fields, but they would often find that their cigarettes would get crushed before they had a chance to smoke them.",put,7,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1054.sense,36,1,False
Then you also put an incense burner there and every time you celebrate a festival you light incense and pray for happiness.,put,3,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,17,1,False
Is it true that some of you got so efficient at flipping that you could actually do it without putting your finger down your throat /.,put,19,1,put.v.01;put.v.02;put.v.09,put-9.1,Cause Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,269,1,False
"Li Mao - tsung, a pottery expert living in the US, who was commissioned by the ROC government to do a study of the suitability of Palauan clays for pottery, says that Palau has a lot of clay of decent quality, making the islands a good location for the development of art pottery or large scale pottery and porcelain production.",commission,15,3,commission.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1022.sense,129,1,False
Paswan hopes to make a one - time price reduction on the 354 essential drugs designated by the WHO ( including in them some hypertension drugs and antibiotics ) first through negotiations and then connect future increase of drug prices with inflation.,designate,15,2,designate.v.02;designate.v.04;designate.v.05,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0069.sense,2,1,False
"Therefore, an organization in Chicago has designated the last week of April in every year as "" TV Turnoff Week, "" urging Americans not to watch or watch less TV during this week.",designate,7,1,designate.v.01;designate.v.03,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0054.sense,9,1,False
Leslie blackmailed the watch out of John.,blackmail,,,,,Induction,,"Kalm 2022, p. 242f",,,
Kennedy entered the Navy earning hero status for saving his ship mates when his boat Pt was sunk by the Japanese.,sink,17,1,sink.v.02;sink.v.04,other_cos-45.4,Cause Change of State,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0347.sense,15,1,False
"As it is, we identify national goals and the threats to these goals, we shape a strategy to counter these threats, we determine the forces needed to execute the strategy, before finally forging the budgets needed to build and maintain the forces.",forge,36,1,forge.v.01;forge.v.06;forge.v.07,build-26.1,Cause Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0692.sense,6,1,False
Egypt has recalled its ambassador to Israel protesting what it calls Israel 's escalation of aggression against the Palestinians.,recall,2,3,recall.v.04,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0114.sense,0,1,False
"During the Taiwan Strait missile crises in 1995 and 1996, when rumors and panic filled the air, fraudulent business groups in Taiwan cheated many investors with a scam surrounding real estate in Palau, but there was a silver lining to this cloud: It attracted the attention of more Taiwan business people, and especially the domestic tourism industry, to business opportunities in Palau.",cheat,24,2,cheat.v.02;cheat.v.03;cheat.v.04,trick-59.2,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1022.sense,26,1,False
I sliced the cucumber in 1/8th inch slices by marking intervals with a ruler.,slice,,,,,Cause Change of State,,framenet,,,
"Slice the celery and onions, core, seed and dice the peppers.",slice,,,,,Cause Change of State,,framenet,,,
"The enterovirus detection biochip developed by DR. Chip Biotechnology takes only six hours to give hospitals the answer to whether a sample contains enterovirus, and if it is the deadly strain Entero 71.",develop,4,1,develop.v.01;develop.v.02;develop.v.03;develop.v.04;develop.v.05;develop.v.10;develop.v.13;develop.v.19;develop.v.20,build-26.1,Cause Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1029.sense,2,3,True
"If Taiwan can not develop long - range missiles or participate in the TMD plan, what effective strategic options are left?",develop,4,1,develop.v.01;develop.v.02;develop.v.03;develop.v.04;develop.v.05;develop.v.10;develop.v.13;develop.v.19;develop.v.20,build-26.1,Cause Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1012.sense,75,3,True
Um there was uh some evidence that leaked out to the fact that had an arrest warrant for my arrest on Wednesday and that I was working without a work permit and I was going to be deported by law enforcement and Wednesday night the law enforcement was looking for me to arrest me /.,deport,37,1,deport.v.02;deport.v.03,banish-10.2,Cause Membership,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,130,1,False
