sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Spiegel promises a ""Guaranteed Christmas,"" with a pledge to deliver goods before Christmas if ordered by Dec. 20.",order,17,2,order.v.02,get-13.5.1,Buying,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1825.sense,45,1,False
You can order flowers online 24 hours a day.,order,2,,,,Buying,,ontonotes,,,False
It was interesting how um you know he was able to order these these group of girls by just merely leaning over the bar and ordering three shots of one fifty - one one for himself and three for the tourists with with no money /.,order,25,order-v 2,order.v.02,,Buying,pos_fill,bc/msnbc/00/msnbc_0000.sense,71,,False
I just ordered pizza from panhandle pizza.,order,2,,,,Buying,,ontonotes,,,False
Businessmen opposed to the Vietnam war tried to buy time for anti-war spots on a radio station.,buy,,,,,Buying,,ontonotes,,,
The insurance premium you forego will buy you a pretty good road bike.,buy,,,,,Buying,,ontonotes,,,
Jess bought a coat.,buy,,,,,Buying,,framenet,,,
"According to his official biography, he bought his first bison in 1976.",buy,,,,,Buying,,ontonotes,,,
"The consumer brands unit was absorbed by the photographic, pharmaceutical and chemical concern last year when it acquired Sterling Drug Inc.",acquire,18,acquire-v 3,acquire.v.01,obtain-13.5.2-1,Buying,pos_fill,nw/wsj/10/wsj_1024.sense,2,,False
"Shortly before the visit, Mr. Boesky and Drexel representives had met with Financial Corp. officials and had signed a letter of intent to acquire the 51 % stake in the company.",acquire,24,acquire-v 3,acquire.v.01,obtain-13.5.2-1,Buying,pos_fill,nw/wsj/23/wsj_2328.sense,9,,False
"Most of my audio equipment, I purchased from a department store near my apartment.",purchase,,,,,Buying,,framenet,,,
"But some large insurers, such as State Farm Mutual Automobile Insurance Co., do n't purchase reinsurance, but fund their own program.",purchase,16,purchase-v 1,purchase.v.01,,Buying,pos_fill,nw/wsj/06/wsj_0648.sense,19,,False
I purchased the calculator for easier calculation of my debts.,purchase,,,,,Buying,,framenet,,,
Will they allow you to purchase by check?,purchase,,,,,Buying,,framenet,,,
"My son was coming in late, so I booked a hotel for him in the area.",book,9,,,,Buying,,ontonotes,,,False
"2- stealing a cell phone in the Mecca Markets,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,61,1,False
They own and operate apartment complexes and office buildings and other properties.,own,1,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0096.sense,4,1,False
British police are puzzling over an item of stolen property which has just been recovered.,recover,14,1,recover.v.01;recover.v.04,obtain-13.5.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0027.sense,2,1,False
Will I get charged for a second cup of coffee?,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
"Some even wear army uniforms to pass themselves off as soldiers, and enter and steal from the camps.",steal,15,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0034.sense,7,1,False
He also sought to establish a deterrent nuclear program since Israel owns the biggest nuclear arsenal in the world.,own,11,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0022.sense,26,1,False
"Because the people are Muslims and do not accept interest from their bank accounts, this interest goes to the banks.",accept,8,1,accept.v.02;accept.v.03;accept.v.05;accept.v.06;accept.v.09;accept.v.10;accept.v.11,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0013.sense,1,1,False
She charges $90 for an office visit.,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
The books were stolen from a warehouse.,steal,3,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0407.sense,11,1,False
"Morton Downey Jr., who self - destructed as a talk - show host and frequently verbally abused his guests, has been signed to co-host a half - hour nightly program on the Consumer News and Business Channel, the cable channel partly owned by the General Electric Co. 's National Broadcasting Co.",own,44,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1313.sense,1,1,False
Foreign - funded processing export consumes domestic electricity and water resources substantially.,consume,5,2,consume.v.03;consume.v.05,consume-66,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0022.sense,45,1,False
The phone company billed me $10 for that phone call.,bill,,,,,Charge,,"Levin 1993, Bill 54.5",,,
"10- stealing the tires of one of the neighbors,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,69,1,False
"Budget Group, which owns Ryder, says it received numerous offers, but decided to auction the truck online, with the net proceeds going to the American Red Cross.",own,4,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0128.sense,2,1,False
